title,release_date,developer,genres,multiplayer_or_singleplayer,price,overall_review,reviews,percent_positive,win_support,mac_support,lin_support
Counter-Strike: Global Offensive,21/08/2012,Valve;Hidden Path Entertainment,Action;Free to Play,Multi-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;In-App Purchases;Valve Anti-Cheat enabled;Stats,Free to play,Positive,6774812,88%,1,1,1
Dota 2,09/07/2013,Valve,Action;Free to Play;Strategy,Multi-player;Co-op;Steam Trading Cards;Steam Workshop;SteamVR Collectibles;In-App Purchases;Valve Anti-Cheat enabled,Free to play,Positive,1885261,82%,1,1,1
Dead by Daylight,14/06/2016,Behaviour Digital Inc.,Action,Multi-player;Online Multi-Player;Co-op;Online Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,749,Positive,453698,81%,1,0,0
Warframe,25/03/2013,Digital Extremes,Action;Free to Play,Single-player;Multi-player;Co-op;Steam Trading Cards;In-App Purchases;Partial Controller Support,Free to play,Positive,512887,87%,1,0,0
War Thunder,15/08/2013,Gaijin Entertainment,Action;Free to Play;Massively Multiplayer;Simulation,Single-player;MMO;Co-op;Cross-Platform Multiplayer;Steam Achievements;In-App Purchases;Partial Controller Support,Free to play,Positive,28437,48%,1,1,1
Grand Theft Auto V,13/04/2015,Rockstar North,Action;Adventure,Single-player;Multi-player;Steam Achievements;Full controller support,Free to play,Positive,349924,78%,1,0,0
The Elder Scrolls� Online,22/05/2017,Zenimax Online Studios,Massively Multiplayer;RPG,MMO;Steam Trading Cards;Partial Controller Support,"1,599",Positive,443174,91%,1,1,0
RimWorld,17/10/2018,Ludeon Studios,Indie;Simulation;Strategy,Single-player;Steam Workshop;Steam Cloud,"1,099",Positive,104886,83%,1,1,1
Rust,08/02/2018,Facepunch Studios,Action;Adventure;Indie;Massively Multiplayer;RPG,Multi-player;Online Multi-Player;MMO;Co-op;Online Co-op;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Steam Workshop;In-App Purchases;Valve Anti-Cheat enabled;Stats,"1,799",Positive,125211,98%,1,1,0
Euro Truck Simulator 2,12/10/2012,SCS Software,Indie;Simulation,Single-player;Steam Achievements;Steam Trading Cards;Steam Workshop;Partial Controller Support;Steam Cloud;Includes level editor,925,Positive,209179,69%,1,1,1
Tom Clancy's Rainbow Six� Siege,01/12/2015,Ubisoft Montreal,Action,Single-player;Multi-player;Co-op;Steam Trading Cards;In-App Purchases;Partial Controller Support,999,Positive,430129,97%,1,0,0
FINAL FANTASY XIV Online,18/02/2014,Square Enix,Massively Multiplayer;RPG,Single-player;Multi-player;Online Multi-Player;MMO;Co-op;Online Co-op;Cross-Platform Multiplayer;Partial Controller Support,719,Positive,52459,77%,1,0,0
Cities: Skylines,10/03/2015,Colossal Order Ltd.,Simulation;Strategy,Single-player;Steam Achievements;Steam Trading Cards;Steam Workshop;Partial Controller Support;Steam Cloud;Includes level editor,899,Positive,920119,93%,1,1,1
Project Zomboid,08/11/2013,The Indie Stone,Indie;RPG;Simulation;Early Access,Single-player;Multi-player;Co-op;Shared/Split Screen;Cross-Platform Multiplayer;Steam Trading Cards;Partial Controller Support,529,Positive,7817,57%,1,1,1
Team Fortress 2,10/10/2007,Valve,Action;Free to Play,Multi-player;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Captions available;Steam Workshop;In-App Purchases;Partial Controller Support;Valve Anti-Cheat enabled;Stats;Includes level editor;Commentary available,Free to play,Positive,88790,88%,1,1,1
World of Warships,15/11/2017,Wargaming Group Limited,Action;Free to Play;Massively Multiplayer;Simulation,Multi-player;Online Multi-Player;MMO;Co-op;Online Co-op;Steam Achievements;Steam Trading Cards;In-App Purchases,Free to play,Positive,409097,97%,1,0,0
Raft,23/05/2018,Redbeet Interactive,Adventure;Indie;Simulation;Early Access,Single-player;Online Multi-Player;Online Co-op;Steam Achievements;Steam Cloud,565,Positive,204591,93%,1,0,0
American Truck Simulator,02/02/2016,SCS Software,Indie;Simulation,Single-player;Steam Achievements;Steam Trading Cards;Steam Workshop;Partial Controller Support;Steam Cloud;Includes level editor,925,Positive,291290,89%,1,1,1
No Man's Sky,12/08/2016,Hello Games,Action;Adventure,Single-player;Multi-player;Online Multi-Player;Co-op;Online Co-op;Steam Achievements;Full controller support;Steam Cloud,"1,799",Positive,7219,90%,1,0,0
The Forest,30/04/2018,Endnight Games Ltd,Action;Adventure;Indie;Simulation,Single-player;Multi-player;Co-op;Partial Controller Support;Steam Cloud,529,Positive,38926,87%,1,0,0
Sid Meier�s Civilization� VI,20/10/2016,Firaxis Games;Aspyr (Mac);Aspyr (Linux),Strategy,Single-player;Multi-player;Steam Achievements;Steam Trading Cards;Steam Workshop,"2,499",Positive,40313,76%,1,1,1
"Warhammer 40,000: Inquisitor - Martyr",05/06/2018,NeocoreGames,Action;Adventure;Indie;RPG,Single-player;Multi-player;Online Multi-Player;Co-op;Online Co-op;Steam Achievements;Full controller support;Steam Trading Cards,"1,669",Positive,319699,95%,1,0,0
Stellaris,09/05/2016,Paradox Development Studio,Simulation;Strategy,Single-player;Multi-player;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Steam Workshop;Steam Cloud,"1,099",Positive,35032,97%,1,1,1
The Elder Scrolls V: Skyrim Special Edition,27/10/2016,Bethesda Game Studios,RPG,Single-player;Steam Achievements;Partial Controller Support;Steam Cloud,"1,799",Positive,98333,88%,1,0,0
