name,release_date,developer,genres,player modes,price,overall_review,reviews,percent_positive,win_support,mac_support,lin_support
Grand Theft Auto V,13/04/2015,Rockstar North,Action;Adventure,Single-player;Multi-player;Steam Achievements;Full controller support,Free to play,Positive,349924,78%,1,0,0
DayZ,13/12/2018,Bohemia Interactive,Action;Adventure;Massively Multiplayer,Multi-player;Online Multi-Player;Steam Workshop;Steam Cloud;Valve Anti-Cheat enabled,"2,799",Positive,55690,87%,1,0,0
Bloons TD 6,17/12/2018,Ninja Kiwi,Strategy,Single-player;Steam Achievements;In-App Purchases,439,Positive,442,90%,1,1,0
Counter-Strike: Global Offensive,21/08/2012,Valve;Hidden Path Entertainment,Action;Free to Play,Multi-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;In-App Purchases;Valve Anti-Cheat enabled;Stats,Free to play,Positive,6774812,88%,1,1,1
Dota 2,9/7/2013,Valve,Action;Free to Play;Strategy,Multi-player;Co-op;Steam Trading Cards;Steam Workshop;SteamVR Collectibles;In-App Purchases;Valve Anti-Cheat enabled,Free to play,Positive,1885261,82%,1,1,1
Artifact,28/11/2018,Valve,Strategy,Single-player;Online Multi-Player;In-App Purchases;Steam Cloud,299,Positive,309,71%,1,0,0
SkiFy,24/01/2018,Blup Games,Casual;Indie;Simulation,Single-player;Partial Controller Support,42,Mixed,18,55%,1,0,0
X3: Terran Conflict,16/10/2006,Egosoft,Action;Simulation;Strategy,Single-player;Steam Achievements;Full controller support;Captions available;Steam Cloud,519,Positive,2801,95%,1,1,1
X3: Reunion,21/07/2006,Egosoft,Strategy,Single-player;Captions available;Steam Cloud,369,Positive,57,84%,1,1,1
X2: The Threat,21/07/2006,Egosoft,Strategy,Single-player;Captions available;Steam Cloud,259,Positive,2506,86%,1,0,0
